http://dbpedia.org/resource/Francesco_Acerbi
[Start]/[End];2006[NA, NA, 1];2007[NA, NA, 1];2008[NA, NA, 1];2010[NA, NA, 1];2011[NA, NA, 1];
1995-01-17[start, activeyearsdate, 1];[X];[X];[X];[X];[1];[X];[X];[X];[X];[1];[X];
1995-01-17[start, term, 1];[X];[X];[X];[X];[X];[1];[X];[X];[X];[X];[1];
20002004[NA, NA, 1];[X];[X];[X];[X];[X];[X];[1];[X];[X];[X];[X];
2001[NA, NA, 1];[X];[X];[1];[X];[X];[X];[1];[1];[1];[X];[X];
2001-01-20[start, term, 1];[X];[X];[X];[X];[X];[X];[X];[X];[X];[X];[1];
2001-01-20[start, activeyearsdate, 1];[X];[X];[X];[X];[X];[X];[X];[X];[X];[1];[X];
2004[NA, NA, 1];[X];[X];[1];[X];[X];[X];[1];[X];[1];[X];[X];
http://dbpedia.org/resource/Ronald_Reagan
[Start]/[End];1937[NA, NA, 1];1947[NA, NA, 1];1959[NA, NA, 1];19661970[NA, NA, 1];1967[NA, NA, 1];1975-01-06[end, activeyearsdate, 1];1975-01-06[end, term, 1];1980[NA, NA, 1];19801984[NA, NA, 1];1981[NA, NA, 1];1983[NA, NA, 1];1989-01-20[end, term, 1];1989-01-20[end, activeyearsdate, 1];2004[NA, NA, 1];2004[end, dateof, 1];2004-06-05[end, date, 2];
1911[start, dateof, 1];[X];[X];[X];[X];[X];[X];[X];[X];[X];[X];[X];[X];[X];[X];[1];[X];
1911-02-06[start, date, 2];[X];[X];[X];[X];[X];[X];[X];[X];[X];[X];[X];[X];[X];[X];[X];[1];
1937[NA, NA, 1];[1];[1];[1];[1];[1];[X];[X];[1];[1];[1];[1];[X];[X];[1];[X];[X];
1937-01-01[start, serviceyear, 1];[X];[X];[X];[X];[X];[X];[X];[X];[X];[X];[X];[X];[X];[X];[X];[X];
1947[NA, NA, 1];[X];[1];[1];[1];[1];[X];[X];[1];[1];[1];[1];[X];[X];[1];[X];[X];
1959[NA, NA, 1];[X];[X];[1];[1];[1];[X];[X];[1];[1];[1];[1];[X];[X];[1];[X];[X];
19661970[NA, NA, 1];[X];[X];[X];[1];[X];[X];[X];[X];[1];[X];[X];[X];[X];[X];[X];[X];
1967[NA, NA, 1];[X];[X];[X];[1];[1];[X];[X];[1];[1];[1];[1];[X];[X];[1];[X];[X];
1967-01-02[start, term, 1];[X];[X];[X];[X];[X];[X];[1];[X];[X];[X];[X];[1];[X];[X];[X];[X];
1967-01-02[start, activeyearsdate, 1];[X];[X];[X];[X];[X];[1];[X];[X];[X];[X];[X];[X];[1];[X];[X];[X];
1980[NA, NA, 1];[X];[X];[X];[1];[X];[X];[X];[1];[1];[1];[1];[X];[X];[1];[X];[X];
19801984[NA, NA, 1];[X];[X];[X];[X];[X];[X];[X];[X];[1];[X];[X];[X];[X];[X];[X];[X];
1981[NA, NA, 1];[X];[X];[X];[1];[X];[X];[X];[X];[1];[1];[1];[X];[X];[1];[X];[X];
1981-01-20[start, term, 1];[X];[X];[X];[X];[X];[X];[X];[X];[X];[X];[X];[1];[X];[X];[X];[X];
1981-01-20[start, activeyearsdate, 1];[X];[X];[X];[X];[X];[X];[X];[X];[X];[X];[X];[X];[1];[X];[X];[X];
1983[NA, NA, 1];[X];[X];[X];[1];[X];[X];[X];[X];[1];[X];[1];[X];[X];[1];[X];[X];
2004[NA, NA, 1];[X];[X];[X];[1];[X];[X];[X];[X];[1];[X];[X];[X];[X];[1];[X];[X];
http://dbpedia.org/resource/Jimmy_Carter
[Start]/[End];1946[NA, NA, 1];1953-01-01[end, serviceyear, 1];1963[NA, NA, 1];1967-01-10[end, term, 1];1967-01-10[end, activeyearsdate, 1];1971[NA, NA, 1];1975-01-14[end, activeyearsdate, 1];1975-01-14[end, term, 1];19761980[NA, NA, 1];1977[NA, NA, 1];1981-01-20[end, term, 1];1981-01-20[end, activeyearsdate, 1];2002[NA, NA, 1];
1924[start, dateof, 1];[X];[X];[X];[X];[X];[X];[X];[X];[X];[X];[X];[X];[X];
1924-10-01[start, date, 2];[X];[X];[X];[X];[X];[X];[X];[X];[X];[X];[X];[X];[X];
1946[NA, NA, 1];[1];[X];[1];[X];[X];[1];[X];[X];[1];[1];[X];[X];[1];
1946-01-01[start, serviceyear, 1];[X];[1];[X];[X];[X];[X];[X];[X];[X];[X];[X];[X];[X];
1963[NA, NA, 1];[X];[X];[1];[X];[X];[1];[X];[X];[1];[1];[X];[X];[1];
1963-01-14[start, activeyearsdate, 1];[X];[X];[X];[X];[1];[X];[1];[X];[X];[X];[X];[1];[X];
1963-01-14[start, term, 1];[X];[X];[X];[1];[X];[X];[X];[1];[X];[X];[1];[X];[X];
1971[NA, NA, 1];[X];[X];[X];[X];[X];[1];[X];[X];[1];[1];[X];[X];[1];
1971-01-12[start, activeyearsdate, 1];[X];[X];[X];[X];[X];[X];[1];[X];[X];[X];[X];[1];[X];
1971-01-12[start, term, 1];[X];[X];[X];[X];[X];[X];[X];[1];[X];[X];[1];[X];[X];
19761980[NA, NA, 1];[X];[X];[X];[X];[X];[X];[X];[X];[1];[X];[X];[X];[X];
1977[NA, NA, 1];[X];[X];[X];[X];[X];[X];[X];[X];[1];[1];[X];[X];[1];
1977-01-20[start, term, 1];[X];[X];[X];[X];[X];[X];[X];[X];[X];[X];[1];[X];[X];
1977-01-20[start, activeyearsdate, 1];[X];[X];[X];[X];[X];[X];[X];[X];[X];[X];[X];[1];[X];
2002[NA, NA, 1];[X];[X];[X];[X];[X];[X];[X];[X];[1];[X];[X];[X];[1];
http://dbpedia.org/resource/Gerald_Ford
[Start]/[End];1942[NA, NA, 1];1946-01-01[end, serviceyear, 1];1949[NA, NA, 1];1963[NA, NA, 1];1965[NA, NA, 1];1973[NA, NA, 1];1973-12-06[end, term, 1];1973-12-06[end, activeyearsdate, 1];1974[NA, NA, 1];1974-08-09[end, term, 1];1974-08-09[end, activeyearsdate, 1];1976[NA, NA, 1];1977-01-20[end, activeyearsdate, 1];1977-01-20[end, term, 1];2004[NA, NA, 1];2006[NA, NA, 1];2006-12-26[end, date, 2];2006-12-26[end, dateof, 1];
1913-07-14[start, dateof, 1];[X];[X];[X];[X];[X];[X];[X];[X];[X];[X];[X];[X];[X];[X];[X];[X];[X];[1];
1913-07-14[start, date, 2];[X];[X];[X];[X];[X];[X];[X];[X];[X];[X];[X];[X];[X];[X];[X];[X];[1];[X];
1942[NA, NA, 1];[1];[X];[1];[1];[1];[1];[X];[X];[1];[X];[X];[1];[X];[X];[1];[1];[X];[X];
1942-01-01[start, serviceyear, 1];[X];[1];[X];[X];[X];[X];[X];[X];[X];[X];[X];[X];[X];[X];[X];[X];[X];[X];
1949[NA, NA, 1];[X];[X];[1];[1];[1];[1];[X];[X];[1];[X];[X];[1];[X];[X];[1];[1];[X];[X];
1949-01-03[start, activeyearsdate, 1];[X];[X];[X];[X];[X];[X];[X];[1];[X];[X];[1];[X];[1];[X];[X];[X];[X];[X];
1949-01-03[start, term, 1];[X];[X];[X];[X];[X];[X];[1];[X];[X];[1];[X];[X];[X];[1];[X];[X];[X];[X];
1963[NA, NA, 1];[X];[X];[X];[1];[1];[1];[X];[X];[1];[X];[X];[1];[X];[X];[1];[1];[X];[X];
1965[NA, NA, 1];[X];[X];[X];[X];[1];[1];[X];[X];[1];[X];[X];[1];[X];[X];[1];[1];[X];[X];
1965-01-03[start, activeyearsdate, 1];[X];[X];[X];[X];[X];[X];[X];[1];[X];[X];[1];[X];[1];[X];[X];[X];[X];[X];
1965-01-03[start, term, 1];[X];[X];[X];[X];[X];[X];[1];[X];[X];[1];[X];[X];[X];[1];[X];[X];[X];[X];
1973[NA, NA, 1];[X];[X];[X];[X];[X];[1];[X];[X];[1];[X];[X];[1];[X];[X];[1];[1];[X];[X];
1973-12-06[start, activeyearsdate, 1];[X];[X];[X];[X];[X];[X];[X];[1];[X];[X];[1];[X];[1];[X];[X];[X];[X];[X];
1973-12-06[start, term, 1];[X];[X];[X];[X];[X];[X];[1];[X];[X];[1];[X];[X];[X];[1];[X];[X];[X];[X];
1974[NA, NA, 1];[X];[X];[X];[X];[X];[X];[X];[X];[1];[X];[X];[1];[X];[X];[1];[1];[X];[X];
1974-08-09[start, term, 1];[X];[X];[X];[X];[X];[X];[X];[X];[X];[1];[X];[X];[X];[1];[X];[X];[X];[X];
1974-08-09[start, activeyearsdate, 1];[X];[X];[X];[X];[X];[X];[X];[X];[X];[X];[1];[X];[1];[X];[X];[X];[X];[X];
1976[NA, NA, 1];[X];[X];[X];[X];[X];[X];[X];[X];[X];[X];[X];[1];[X];[X];[1];[1];[X];[X];
2004[NA, NA, 1];[X];[X];[X];[X];[X];[X];[X];[X];[X];[X];[X];[X];[X];[X];[1];[1];[X];[X];
2006[NA, NA, 1];[X];[X];[X];[X];[X];[X];[X];[X];[X];[X];[X];[X];[X];[X];[X];[1];[X];[X];
http://dbpedia.org/page/Gerardo_de_Miguel
[Start]/[End];
http://dbpedia.org/resource/Lyndon_B._Johnson
[Start]/[End];1937[NA, NA, 1];1941[NA, NA, 1];1942-01-01[end, serviceyear, 1];1949[NA, NA, 1];1949-01-03[end, term, 1];1949-01-03[end, activeyearsdate, 1];1951[NA, NA, 1];1953[NA, NA, 1];1953-01-03[end, activeyearsdate, 1];1953-01-03[end, term, 1];1955[NA, NA, 1];1955-01-03[end, term, 1];1955-01-03[end, activeyearsdate, 1];1960[NA, NA, 1];1961[NA, NA, 1];1961-01-03[end, term, 1];1961-01-03[end, activeyearsdate, 1];1963[NA, NA, 1];1963-11-22[end, activeyearsdate, 1];1963-11-22[end, term, 1];1964[NA, NA, 1];1967[NA, NA, 1];1969-01-20[end, term, 1];1969-01-20[end, activeyearsdate, 1];1972[NA, NA, 1];1973[NA, NA, 1];1973-01-22[end, dateof, 1];1973-01-22[end, date, 2];
1908-08-27[start, dateof, 1];[X];[X];[X];[X];[X];[X];[X];[X];[X];[X];[X];[X];[X];[X];[X];[X];[X];[X];[X];[X];[X];[X];[X];[X];[X];[X];[1];[X];
1908-08-27[start, date, 2];[X];[X];[X];[X];[X];[X];[X];[X];[X];[X];[X];[X];[X];[X];[X];[X];[X];[X];[X];[X];[X];[X];[X];[X];[X];[X];[X];[1];
1937[NA, NA, 1];[1];[1];[X];[1];[X];[X];[1];[1];[X];[X];[1];[X];[X];[1];[1];[X];[X];[1];[X];[X];[1];[1];[X];[X];[1];[1];[X];[X];
1937-04-10[start, term, 1];[X];[X];[X];[X];[1];[X];[X];[X];[X];[1];[X];[1];[X];[X];[X];[1];[X];[X];[X];[1];[X];[X];[1];[X];[X];[X];[X];[X];
1937-04-10[start, activeyearsdate, 1];[X];[X];[X];[X];[X];[1];[X];[X];[1];[X];[X];[X];[1];[X];[X];[X];[1];[X];[1];[X];[X];[X];[X];[1];[X];[X];[X];[X];
1941[NA, NA, 1];[X];[1];[X];[1];[X];[X];[1];[1];[X];[X];[1];[X];[X];[1];[1];[X];[X];[1];[X];[X];[1];[1];[X];[X];[1];[1];[X];[X];
1941-01-01[start, serviceyear, 1];[X];[X];[1];[X];[X];[X];[X];[X];[X];[X];[X];[X];[X];[X];[X];[X];[X];[X];[X];[X];[X];[X];[X];[X];[X];[X];[X];[X];
1949[NA, NA, 1];[X];[X];[X];[1];[X];[X];[1];[1];[X];[X];[1];[X];[X];[1];[1];[X];[X];[1];[X];[X];[1];[1];[X];[X];[1];[1];[X];[X];
1949-01-03[start, activeyearsdate, 1];[X];[X];[X];[X];[X];[1];[X];[X];[1];[X];[X];[X];[1];[X];[X];[X];[1];[X];[1];[X];[X];[X];[X];[1];[X];[X];[X];[X];
1949-01-03[start, term, 1];[X];[X];[X];[X];[1];[X];[X];[X];[X];[1];[X];[1];[X];[X];[X];[1];[X];[X];[X];[1];[X];[X];[1];[X];[X];[X];[X];[X];
1951[NA, NA, 1];[X];[X];[X];[X];[X];[X];[1];[1];[X];[X];[1];[X];[X];[1];[1];[X];[X];[1];[X];[X];[1];[1];[X];[X];[1];[1];[X];[X];
1951-01-03[start, activeyearsdate, 1];[X];[X];[X];[X];[X];[X];[X];[X];[1];[X];[X];[X];[1];[X];[X];[X];[1];[X];[1];[X];[X];[X];[X];[1];[X];[X];[X];[X];
1951-01-03[start, term, 1];[X];[X];[X];[X];[X];[X];[X];[X];[X];[1];[X];[1];[X];[X];[X];[1];[X];[X];[X];[1];[X];[X];[1];[X];[X];[X];[X];[X];
1953[NA, NA, 1];[X];[X];[X];[X];[X];[X];[X];[1];[X];[X];[1];[X];[X];[1];[1];[X];[X];[1];[X];[X];[1];[1];[X];[X];[1];[1];[X];[X];
